id,osf_title,contributors
ptfye,"Vogel &amp; Homberg: P-Hacking, P-Curves and the PSM–Performance Relationship: Is there evidential value?","['Dominik Vogel', 'Fabian Homberg']"
pvyhe,How subcultures emerge,"['Petr Tureček', 'Jakub Slavík']"
q2zrp,Former Veg*ns: Reasons for abandoning veg*n diet goals,['Faunalytics']
qbgct,Where do Early Career Researchers stand on Open Science practices? A survey within the Max Planck Society,"['Daniel Toribio-Flórez', 'Lukas Anneser', 'Felipe N. Oliveira-Lopes', 'Martijn Pallandt', 'Isabell Tunn', 'Hendrik Windel']"
qhaf8,BCCCD23 - Elements of Cognitive Pupillometry,"['Giulia Calignano', 'SOFIA RUSSO']"
qj4xr,Who supports science-related populism? A nationally representative survey on the prevalence and explanatory factors of populist attitudes toward science in Switzerland,['Niels G. Mede']
qj86m,"To Deny, To Justify, Or To Apologize: Do Social Accounts Influence Stress Levels in the Aftermath of Psychological Contract Breach?","['Tim Vantilborgh', 'Safâa Achnak']"
qjfv4,Overcoming barriers to service access: Refugees’ professional support service utilization and the impact of human and social capital,['Ellen Heidinger']
qk3bf,SITAR 2018: The Latent Structure of Interpersonal Problems,['Leon P. Wendt']
qrv2e,Testing the divisive normalization hypothesis of neural value coding,"['Sebastian Gluth', 'Maria Kortmann', 'Nadja Kern', 'Cécile Vitali']"
qrvje,Toddlers’ social evaluations of agents who act on false beliefs,"['Brandon M. Woo', 'Elizabeth Spelke']"
qsa5w,Psychometrics of the Self-Reflection and Insight Scale (SRIS),['Paul Silvia']
qwr69,Covariate Selection in Causal Learning under Non-Gaussianity,['Bixi Zhang']
qxf5t,Cultures under stress: A cross-national meta-analysis of cortisol responses to the Trier Social Stress Test and their association with internalizing mental disorders and anxiety-based values,"['Robert Miller', 'Clemens Kirschbaum']"
qxwsz,Fear and anxiety differ in construal level and scope,['Lewend Mayiwar']
qy5sd,Working Memory Capacity Limits Memory for Bindings,['Klaus Oberauer']
qynhu,The influence of verb tense on mental simulation during literary reading,"['Lynn S. Eekhof', 'Roel Willems', 'Anita Eerland']"
r24vb,How do Different Types of Synaesthesia Cluster Together?  Implications for Causal Mechanisms,"['Jamie Ward', 'Julia Simner']"
r4wg2,Social Status and Life Satisfaction: The Role of Future Expectations,"['David Weiss', 'Maria Blöchl']"
rbxzs,Meta-análisis en ciencias sociales y de la salud,['Georgina Guilera']
rf6zu,Einführung in die statistische Analyse von Netzwerken mit Latent-Space Modellen in R,['Florian Pargent']
rh2sw,A tutorial on Bayesian analysis of ecological momentary assessment data in psychological research,"['Jonas Dora', 'Connor J McCabe', 'Caspar J. van Lissa', 'Katie Witkiewitz', 'Kevin King']"
rmcuy,Strategies for integrating disparate social information,"['Lucas Molleman', 'Lucas Molleman', 'Alan Novaes Tump', 'Andrea Gradassi', 'Stefan Herzog', 'Ralf Kurvers', 'Wouter van den Bos']"
rs6un,A systematic study into the factors that affect the predictive accuracy of multilevel VAR(1) models,"['Ginette Lafit', 'Kristof Meers', 'Eva Ceulemans']"
rtmyx,A user perspective on the avalanche danger scale – Insights from North America---Data and Code,"['Pascal Haegeli', 'Abby Morgan', 'Henry Finn', 'Patrick Mair']"
s6zeg,Attachment styles modulate neural markers of threat and imagery when engaging in self-criticism,['Jeffrey J. Kim']
s82bw,TreeBUGS: An R Package for Hierarchical Multinomial-Processing-Tree Modeling,"['Daniel W. Heck', 'Nina Rebecca Arnold', 'Denis Arnold']"
sb3kw,A status-seeking account of psychological entitlement,"['Jens Lange', 'Liz Redford', 'Jan Crusius']"
scn62,,['Error fetching contributors']
skp56,CSEP 2021: Data Science for the Modern Exercise Physiologist,['Ashley Akerman']
sqfnt,Self-Control and Social Desirability Meta-analysis,"['Xin Sun', 'Han Zhang', 'Akira Miyake']"
srbcf,Prostate Cancer TIME,['Neil Jairath']
sw7rq,Establishing the social licence to introduce tracking technologies to address COVID-19,"['Simon Dennis', 'Paul Garrett', 'Joshua Paul White', 'Yoshihisa Kashima', 'Andrew Perfors', 'Daniel R. Little', 'Stephan Lewandowsky', 'Nic Geard', 'Lewis Mitchell', 'Martin Tomko', 'Philipp Lorenz-Spreen']"
sx6yf,No man is an island: Effects of social seclusion on REM sleep and social dream content,"['Jarno Tuominen', 'Henri Olkoniemi', 'Katja Valli']"
t2jka,Batch upload stimuli to a Qualtrics survey (R script),"['Xiao Yang', 'Hillary']"
t7a28,Prediction of Health-Related Outcomes and Turnover Intention with the Munich Employee Health Questionnaire (MEHQ),"['Florian Pargent', 'Bettina Maria Zweck', 'Markus Bühner']"
t93pf,Open Science in Marketing,"['Stefan Mayer', 'Jan R. Landwehr']"
tajd9,On the role of response styles in the study of intraindividual variability,"['Steffen Nestler', 'Katharina Utesch (geb. Geukes)', 'Theresa Eckes']"
tbczv,Psychological theories of preferential choices under time pressure are more consistent than descriptive theories,"['Jon-Paul Cavallaro', 'Guy Hawkins']"
tfbps,Idiographic Personality Network Modeling ,"['Daan Hulsmans', 'Freek Oude Maatman', 'Roy Otten', 'Evelien Poelen', 'Anna Lichtwarck-Aschoff']"
tg3fq,"A personality trait-based network of boredom, spontaneous and deliberate mind-wandering","['Corinna Martarelli', 'Alex Bertrams', 'Wanja Wolff']"
tgf3q,"The Late Gravettian Site of Kostënki 21 Layer III, Russia: a Chronocultural Reassessment Based on a New Interpretation of the Significance of Intra-site Spatial Patterning",['Natasha Reynolds']
tnbev,Lewis Acid–Base - R Files for Instructors and Researchers,"['Brandon J. Yik', 'Jeffrey R. Raker']"
tw8dq,Test-Retesting the Social Value Orientation Slider Measure,"['Carlos A. de Matos Fernandes', 'Dieko Bakker']"
u3wby,The Open Science Twitterverse,['Mark Allen Thornton']
u9hkj,"Data and Code for ""Carbon dioxide removal to combat climate change? An expert survey on perception and support""","['Annina Thaller', 'Christoph Kerner', 'Thomas Brudermann']"
uckzx,Heads &amp; Tails: A study of the informational value of Greek coinage (650 BCE – 336 BCE),"['Barbara Pavlek', 'Olivier Morin']"
uf63k,Syed Manuscript Review Analysis,['Moin Syed']
uhma8,Mapping Methods in Contemporary Political Science Research: An Analysis of Journal Publications (1998 - 2018),"['Daniel Solomon', 'Diana Kapiszewski', 'Tranae Hardy']"
ujpyn,Power Posing - P-Curve,"['Uri Simonsohn', 'Joseph P. Simmons']"
unxj2,Lean-back and lean-forward online behaviors: the role of emotions in passive versus proactive information diffusion of social media content.,"['Pablo M. Flores', 'Martin Hilbert']"
uq3cv,Refining manual annotation effort,['Taylor Shaw']
uxdwh,Calculating the relative importance of multiple regression predictor variables using dominance analysis and random forests,['Atsushi Mizumoto']
uygpq,Data and code for The Role of Emotion Regulation and Choice Repetition Bias in the Ultimatum Game,['Justin Chung']
vguey,Selection of the Number of Participants in Intensive Longitudinal Studies: A User-friendly Shiny App and Tutorial to Perform Power Analysis in Multilevel Regression Models that Account for Temporal Dependencies,"['Ginette Lafit', 'Janne Adolf', 'Egon Dejonckheere', 'Inez Myin-Germeys', 'Wolfgang Viechtbauer', 'Eva Ceulemans']"
vjeb3,"Data and Code for ""Older Barbary macaques show limited capacity for self-regulation to avoid hazardous social interactions""","['Julia Fischer', 'Eva-Maria Rathke', 'Roger Mundry']"
vnbxk,"Gaming Habits and Psychological Well-being: An international dataset about the Anxiety, Life Satisfaction and Social Phobia of over 13000 gamers","['Marian Sauter', 'Dejan Draschkow']"
vphyt,Effects of the COVID-19 Pandemic on Reading Performance of Second Grade Children in Germany,"['Natalie Förster', 'Boris Forthmann', 'Mitja Back', 'Elmar Souvignier']"
vprwb,Data and code for lmerTest tutorial manuscript,"['Richard S. Pond, Jr.', 'Matison W McCool']"
vtb9e,PowerLAPIM: An Application to Conduct Power Analysis for Longitudinal Actor-Partner Interdependence Models that Include Quadratic Effects,"['Ginette Lafit', 'Laura Sels', 'Janne Adolf', 'Tom Loeys', 'Eva Ceulemans']"
vwq9p,A Dictionary-Based Comparison of Autobiographies by People and Murderous Monsters,"['Micah Iserman', 'Molly Ireland']"
vy763,Supplemental materials for paper: A closer look at fixed effects regression in SEM,['Henrik Kenneth Andersen']
w4gey,Legacy media as inhibitors and drivers of public reservations against science: Global survey evidence on the link between media use and anti-science attitudes,['Niels G. Mede']
w7afh,Toward a new personality model of responses to uncertainty,['Alex Rautu']
w7pjy,Critical Layer Validation---Data and Code,"['Florian Herla', 'Pascal Haegeli', 'Simon Horton', 'Patrick Mair']"
w97h4,Vogel &amp; Willems (2020). The effects of making public service employees aware of their prosocial and societal impact: A microintervention,"['Dominik Vogel', 'Jurgen Willems']"
wbyj7,Speed-Accuracy Tradeoffs In Decision Making: Perception Shifts And Goal Activation Bias Decision Thresholds,['Guy Hawkins']
wc3nq,The effects of maternal social connectivity and integration on offspring survival in a marmot. Data and code.,"['Anita Pilar Montero', 'Dana M. Williams', 'Julien Martin', 'Daniel T. Blumstein', 'YB marmots']"
wcfj3,Cognitive Benefits of Learning Additional Languages in Old Adulthood? Insights from an Intensive Longitudinal Intervention Study,"['Maria Kliesch', 'Simone E. Pfenninger', 'Martijn Wieling', 'Elisabeth Stark', 'Martin Meyer']"
wcqpa,Dataset and R code for: Suicidal risk and impulsivity-related traits among young Argentinean college students during a quarantine of up to 103-days duration: Longitudinal evidence from the COVID-19 pandemic,['Lorena Cecilia López Steinmetz']
wgneh,Overlap in Meaning Is a Stronger Predictor of Semantic Activation in GPT-3 Than in Humans,"['Jan Digutsch', 'Michal Kosinski']"
wxgm5,Context Effects in Reproduction and Perception of Song Tempo,"['William Hayes', 'Douglas Wedell']"
wxgzu,SMART Mental Health Prediction Tournament,"['Zachary Daniel Cohen', 'Joshua F. Wiley', 'Wolfgang Lutz', 'Aaron J. Fisher', 'Thomas Kim', 'Rob Saunders', 'Joshua Eusty Jonathan Buckman']"
wyrav,"The Impact of the Early Stages of COVID-19 on Mental Health in the United States, Germany, and the United Kingdom","['Sandrine Müller', 'Fionn Delahunty', 'Sandra Matz']"
x72cy,Laypeople Can Predict Which Social Science Studies Replicate,"['Suzanne Hoogeveen', 'Alexandra Sarafoglou', 'Eric-Jan Wagenmakers']"
x8vyw,Mapping out particle placement in Englishes around the world,"['Jason Grafmiller', 'Benedikt Szmrecsanyi']"
xcthg,Fandom biases retrospective judgments not perception,"['Markus Huff', 'Frank Papenmeier', 'Annika Maurer', 'Tino Meitz', 'Bärbel Garsoffky', 'Stephan Schwan']"
xgwzf,Cross-modal facilitation of episodic memory by sequential action execution,"['Camille Gasser', 'Lila Davachi']"
xh36s,Manipulating Free Will Beliefs using online video games,"['Nel Tavernier', 'David Wisniewski']"
xhrw6,Childhood and Adulthood Predictors of Critical Consciousness,"['Joel Devonshire', 'Darcia Narvaez']"
xjm6z,Bayesian analysis of cross-sectional network psychometrics: A tutorial in R and JASP,"['Karoline Huth', 'Jill de Ron', 'Anneke Goudriaan', 'Judy Luigjes', 'Reza Mohammadi', 'Ruth van Holst', 'Eric-Jan Wagenmakers', 'Maarten Marsman']"
xuz8d,Thesis,['Sabrina Di Lonardo Burr']
xwp2d,OSID,['Steven Glautier']
y5gr9,Diversifying Research Methods Syllabi,"['Michael J. Kane', 'Rogier Kievit', 'Daniel Lakens', 'Jessica Logan', 'Brian A. Nosek', 'Sanjay Srivastava', 'Simine Vazire', 'Kirstie Whitaker', 'Madeline Harms']"
yc8b5,Text Analysis,"['Diego Iglesias', 'Miguel A. Sorrel', 'Ricardo Olmos']"
yfegm,Infants' Object Processing in the Context of Third-Party Social Interactions,"['Maleen Thiele', 'Christine Michel', 'Robert Hepach', 'Daniel Haun']"
yhmbd,Cognitio populi — Vox populi: Implications of science-related populism for communication behavior,"['Niels G. Mede', 'Mike S. Schäfer', 'Julia Metag']"
ynx3m,Women of the Conversion Period,"['Sam Leggett', 'Helena Hamerow', 'Hannah Wilson']"
yvw93,Response Surface Analysis in Personality and Social Psychology: Checklist and Clarifications for the Case of Congruence Hypotheses,"['Sarah Humberg', 'Steffen Nestler', 'Mitja Back']"
ywm3r,Supplementary data for Uncovering the Motivational Core of Traits: The Case of Conscientiousness,['Giulio Costantini']
z39us,COVIDiSTRESS global survey,"['Andreas Lieberoth', 'Jesper Rasmussen', 'Sabrina Stoeckli', 'Thao Tran', 'Dominik-Borna Ćepulić', 'Hyemin Han', 'Shiang-Yi Lin', 'Jarno Tuominen', 'Giovanni A. Travaglino', 'Taciano L. Milfont', 'Emilia KrÃ¶ger', 'Robin', 'Richard Neil Belcher', 'Sara Vestergren']"
z6nm8,The behavioural ecology of optimism,['Marko Bračić']
zcv4m,"Is cooperative memory special? The role of costly errors, context, and social network size when remembering cooperative actions",['Jeffrey R Stevens']
zfqax,Social Ball: An immersive research paradigm to study social ostracism,"['Erdem Ozan Meral', 'Hannes Rosenbusch', 'Anneloes Kip', 'Dongning Ren', 'Eric van Dijk', 'Ilja van Beest']"
zh3f4,Blinded with Science or Informed by Charts? A Replication Study,"['Pierre Dragicevic', 'Yvonne Jansen']"
zhf98,"Politics in science: study1- political relevence, pre-reg main study+dataset","['Orly Eitan', 'Yoel Inbar', 'Stefan Thau', 'domenico viganola', 'Anna Dreber Almenberg', 'Eric Luis Uhlmann']"
ztycp,Psychometrics of the Schizotypal Ambivalence Scale (SAS),"['Lauren Deters', 'Paul Silvia', 'Thomas Kwapil']"
zv3uc,Open Science and Terrorism Studies,"['Sandy Schumann', 'Isabelle van der Vegt']"
