id,osf_title,status,pdf_url
tgf3q,"The Late Gravettian Site of Kostënki 21 Layer III, Russia: a Chronocultural Reassessment Based on a New Interpretation of the Significance of Intra-site Spatial Patterning",downloaded,
tnbev,Lewis Acid–Base - R Files for Instructors and Researchers,not found,
tw8dq,Test-Retesting the Social Value Orientation Slider Measure,downloaded,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/E56B43B5F2E149658904DF815AECE1E4/S1930297500009013a.pdf/div-class-title-assessing-the-test-retest-reliability-of-the-social-value-orientation-slider-measure-div.pdf
u3wby,The Open Science Twitterverse,downloaded,
u9hkj,"Data and Code for ""Carbon dioxide removal to combat climate change? An expert survey on perception and support""",downloaded,https://iopscience.iop.org/article/10.1088/2515-7620/accc72/pdf
uckzx,Heads &amp; Tails: A study of the informational value of Greek coinage (650 BCE – 336 BCE),not found,
uf63k,Syed Manuscript Review Analysis,download error,https://doi.org/10.1109/access.2024.3440358
uhma8,Mapping Methods in Contemporary Political Science Research: An Analysis of Journal Publications (1998 - 2018),not found,
ujpyn,Power Posing - P-Curve,downloaded,
unxj2,Lean-back and lean-forward online behaviors: the role of emotions in passive versus proactive information diffusion of social media content.,downloaded,https://doi.org/10.1016/j.chb.2023.107841
uq3cv,Refining manual annotation effort,download error,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ece3.9491
uxdwh,Calculating the relative importance of multiple regression predictor variables using dominance analysis and random forests,error,
uygpq,Data and code for The Role of Emotion Regulation and Choice Repetition Bias in the Ultimatum Game,downloaded,http://pure-oai.bham.ac.uk/ws/files/177638380/chung_2022_ER_choice_repetition_in_UG_accepted_version.pdf
vguey,Selection of the Number of Participants in Intensive Longitudinal Studies: A User-friendly Shiny App and Tutorial to Perform Power Analysis in Multilevel Regression Models that Account for Temporal Dependencies,error,
vjeb3,"Data and Code for ""Older Barbary macaques show limited capacity for self-regulation to avoid hazardous social interactions""",downloaded,https://www.nature.com/articles/s42003-022-04012-5.pdf
vnbxk,"Gaming Habits and Psychological Well-being: An international dataset about the Anxiety, Life Satisfaction and Social Phobia of over 13000 gamers",downloaded,
vphyt,Effects of the COVID-19 Pandemic on Reading Performance of Second Grade Children in Germany,downloaded,https://link.springer.com/content/pdf/10.1007/s11145-022-10379-y.pdf
vprwb,Data and code for lmerTest tutorial manuscript,not found,
vtb9e,PowerLAPIM: An Application to Conduct Power Analysis for Longitudinal Actor-Partner Interdependence Models that Include Quadratic Effects,downloaded,https://psyarxiv.com/mnce4/download
vwq9p,A Dictionary-Based Comparison of Autobiographies by People and Murderous Monsters,download error,https://www.aclweb.org/anthology/W17-3109.pdf
vy763,Supplemental materials for paper: A closer look at fixed effects regression in SEM,not found,
w4gey,Legacy media as inhibitors and drivers of public reservations against science: Global survey evidence on the link between media use and anti-science attitudes,downloaded,https://www.nature.com/articles/s41599-022-01058-y.pdf
w7afh,Toward a new personality model of responses to uncertainty,not found,
w7pjy,Critical Layer Validation---Data and Code,downloaded,
w97h4,Vogel &amp; Willems (2020). The effects of making public service employees aware of their prosocial and societal impact: A microintervention,downloaded,
wbyj7,Speed-Accuracy Tradeoffs In Decision Making: Perception Shifts And Goal Activation Bias Decision Thresholds,downloaded,https://psyarxiv.com/6ycaf/download
wc3nq,The effects of maternal social connectivity and integration on offspring survival in a marmot. Data and code.,downloaded,
wcfj3,Cognitive Benefits of Learning Additional Languages in Old Adulthood? Insights from an Intensive Longitudinal Intervention Study,downloaded,
wcqpa,Dataset and R code for: Suicidal risk and impulsivity-related traits among young Argentinean college students during a quarantine of up to 103-days duration: Longitudinal evidence from the COVID-19 pandemic,downloaded,https://ri.conicet.gov.ar/bitstream/11336/140454/2/CONICET_Digital_Nro.b066bab4-cbe0-41c5-9185-86581e6de7ec_A.pdf
wgneh,Overlap in Meaning Is a Stronger Predictor of Semantic Activation in GPT-3 Than in Humans,downloaded,https://www.nature.com/articles/s41598-023-32248-6.pdf
wxgm5,Context Effects in Reproduction and Perception of Song Tempo,downloaded,
wxgzu,SMART Mental Health Prediction Tournament,downloaded,
wyrav,"The Impact of the Early Stages of COVID-19 on Mental Health in the United States, Germany, and the United Kingdom",downloaded,
x72cy,Laypeople Can Predict Which Social Science Studies Replicate,downloaded,https://psyarxiv.com/egw9d/download
x8vyw,Mapping out particle placement in Englishes around the world,downloaded,http://pure-oai.bham.ac.uk/ws/files/53926564/Grafmiller_Mapping_out_particle_placement_Language_Variation_and_Change_2018.pdf
xcthg,Fandom biases retrospective judgments not perception,downloaded,https://www.nature.com/articles/srep43083.pdf
xgwzf,Cross-modal facilitation of episodic memory by sequential action execution,downloaded,
xh36s,Manipulating Free Will Beliefs using online video games,downloaded,https://link.springer.com/content/pdf/10.1007/s00426-023-01815-x.pdf
xhrw6,Childhood and Adulthood Predictors of Critical Consciousness,downloaded,
xjm6z,Bayesian analysis of cross-sectional network psychometrics: A tutorial in R and JASP,download error,https://journals.sagepub.com/doi/pdf/10.1177/25152459231193334
xuz8d,Thesis,downloaded,https://doi.org/10.5194/se-2020-89-sc5
xwp2d,OSID,downloaded,https://www.frontiersin.org/articles/10.3389/fmed.2022.949202/pdf
y5gr9,Diversifying Research Methods Syllabi,downloaded,
yc8b5,Text Analysis,download error,https://doi.org/10.1073/pnas.2308950121
yfegm,Infants' Object Processing in the Context of Third-Party Social Interactions,error,
yhmbd,Cognitio populi — Vox populi: Implications of science-related populism for communication behavior,downloaded,https://www.degruyter.com/document/doi/10.1515/commun-2022-0059/pdf
ynx3m,Women of the Conversion Period,downloaded,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/86A22FCAD0BEE9B1644CE981B40A71DA/S0003598X2300203Xa.pdf/div-class-title-women-of-the-conversion-period-a-biomolecular-investigation-of-mobility-in-early-medieval-england-div.pdf
yvw93,Response Surface Analysis in Personality and Social Psychology: Checklist and Clarifications for the Case of Congruence Hypotheses,downloaded,
ywm3r,Supplementary data for Uncovering the Motivational Core of Traits: The Case of Conscientiousness,downloaded,
z39us,COVIDiSTRESS global survey,download error,https://doi.org/10.1098/rsos.200589
z6nm8,The behavioural ecology of optimism,downloaded,
zcv4m,"Is cooperative memory special? The role of costly errors, context, and social network size when remembering cooperative actions",downloaded,https://www.frontiersin.org/articles/10.3389/frobt.2017.00052/pdf
zfqax,Social Ball: An immersive research paradigm to study social ostracism,not found,
zh3f4,Blinded with Science or Informed by Charts? A Replication Study,downloaded,https://hal.sorbonne-universite.fr/hal-01580259/file/Dragicevic_Jansen_2017.pdf
zhf98,"Politics in science: study1- political relevence, pre-reg main study+dataset",downloaded,
ztycp,Psychometrics of the Schizotypal Ambivalence Scale (SAS),downloaded,https://www.mdpi.com/2076-328X/12/8/247/pdf?version=1658484240
zv3uc,Open Science and Terrorism Studies,downloaded,
